|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1706 |  6.212346 | 20.189.173.11 |   192.168.0.0 | TCP     |   60 | 443  >  59890 [ACK] Seq=1 Ack=58505 Win=16385 Len=0                                                                     |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1708 |  6.212436 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=68585 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1709 |  6.212436 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=70025 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1710 |  6.212436 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=71465 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1711 |  6.212436 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=72905 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1712 |  6.212436 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=74345 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1784 |  6.419060 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 1706#1] 443  >  59890 [ACK] Seq=1 Ack=58505 Win=16385 Len=0 SLE=61385 SRE=62825                            |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1787 |  6.419112 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | 59890  >  443 [ACK] Seq=75785 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]                                 |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1790 |  6.428928 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | [TCP Retransmission] 59890  >  443 [ACK] Seq=58505 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]            |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1860 |  6.590872 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 1706#2] 443  >  59890 [ACK] Seq=1 Ack=58505 Win=16385 Len=0 SLE=61385 SRE=64265                            |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1861 |  6.590872 | 20.189.173.11 |   192.168.0.0 | TCP     |   66 | [TCP Dup ACK 1706#3] 443  >  59890 [ACK] Seq=1 Ack=58505 Win=16385 Len=0 SLE=61385 SRE=65705                            |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 1862 |  6.590905 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | [TCP Retransmission] 59890  >  443 [ACK] Seq=59945 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]            |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 2096 |  7.243148 |   192.168.0.0 | 20.189.173.11 | TCP     |   66 | 59910  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM                                                     |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 2152 |  7.500158 |   192.168.0.0 | 20.189.173.11 | TCP     |   66 | 59911  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM                                                     |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 2308 |  7.847284 | 20.189.173.11 |   192.168.0.0 | TCP     |   74 | [TCP Dup ACK 1706#4] 443  >  59890 [ACK] Seq=1 Ack=58505 Win=16385 Len=0 SLE=68585 SRE=70025 SLE=61385 SRE=65705        |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 2310 |  7.847333 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | [TCP Retransmission] 59890  >  443 [ACK] Seq=65705 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]            |
|------|-----------|---------------|---------------|---------|------|-------------------------------------------------------------------------------------------------------------------------|
| 2311 |  7.847333 |   192.168.0.0 | 20.189.173.11 | TCP     | 1494 | [TCP Retransmission] 59890  >  443 [PSH, ACK] Seq=67145 Ack=1 Win=515 Len=1440 [TCP segment of a reassembled PDU]       |
